N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
52,포스코케미칼,"82,400","1,800",+2.23%,500,"50,254","60,988",7.25,"343,012",175.69,11.57,
53,LG유플러스,"11,500",50,+0.44%,"5,000","50,210","436,611",31.03,"1,935,367",6.34,6.30,
54,강원랜드,"23,050",250,+1.10%,500,"49,313","213,940",23.47,"805,630",-242.63,9.16,
55,오리온,"119,000","2,000",-1.65%,500,"47,048","39,536",42.31,"108,280",17.19,14.24,
56,아모레G,"55,700",500,+0.91%,500,"45,929","82,458",19.84,"269,015",75.99,4.12,
57,한진칼,"76,100",0,0.00%,"2,500","45,029","59,171",17.18,"290,705",-11.72,-17.56,
58,한국타이어앤테크놀로지,"35,850","1,200",-3.24%,500,"44,409","123,875",38.04,"287,768",14.99,6.03,
59,현대제철,"33,050",100,-0.30%,"5,000","44,104","133,446",19.33,"1,253,394",-16.39,0.10,
60,현대중공업지주,"278,000","11,500",+4.32%,"5,000","43,920","15,799",17.91,"96,126",-19.60,2.20,
61,유한양행,"65,500",600,-0.91%,"1,000","43,791","66,857",20.99,"360,722",24.13,2.43,
62,녹십자,"373,500","9,000",-2.35%,"5,000","43,649","11,687",19.33,"299,791",100.19,-0.35,
63,대한항공,"25,000",800,+3.31%,"5,000","43,552","174,210",12.02,"5,095,744",-3.72,-22.09,
64,이마트,"155,500","1,000",+0.65%,"5,000","43,347","27,876",31.84,"240,400",7.80,2.76,
65,금호석유,"142,000","7,000",-4.70%,"5,000","43,264","30,468",27.77,"553,858",12.15,11.84,
66,HMM,"13,050",350,-2.61%,"5,000","42,638","326,726",6.04,"5,354,475",-42.10,-55.46,
67,삼성중공업,"6,760",170,-2.45%,"5,000","42,588","630,000",15.13,"56,212,169",-3.41,-21.88,
68,한국금융지주,"75,400",700,-0.92%,"5,000","42,017","55,726",30.64,"305,618",7.13,18.14,
69,삼성카드,"34,750",150,-0.43%,"5,000","40,261","115,859",10.07,"105,978",10.74,5.04,
70,두산중공업,"15,300",0,0.00%,"5,000","38,731","253,141",10.13,"3,249,923",-3.33,-14.73,
71,현대건설,"34,650",700,+2.06%,"5,000","38,585","111,356",20.02,"1,224,043",11.47,6.30,
72,LG이노텍,"161,000","2,000",-1.23%,"5,000","38,104","23,667",35.44,"148,219",29.19,4.73,
73,맥쿼리인프라,"10,900",50,-0.46%,0,"38,046","349,044",14.74,"1,029,153",N/A,N/A,
74,CJ대한통운,"165,500","3,500",-2.07%,"5,000","37,754","22,812",22.01,"62,193",41.77,1.41,
75,롯데지주,"35,750",800,+2.29%,200,"37,505","104,909",11.48,"608,677",-5.39,-5.21,
76,한미약품,"315,000","11,500",-3.52%,"2,500","37,306","11,843",14.34,"83,529",103.48,7.30,
77,한미사이언스,"55,300","1,700",-2.98%,500,"36,504","66,011",1.83,"171,947",128.90,4.73,
78,GS,"38,000",500,+1.33%,"5,000","35,308","92,915",20.09,"466,561",-41.21,6.26,
79,삼성증권,"39,350",450,-1.13%,"5,000","35,140","89,300",25.76,"615,428",10.80,8.15,
80,호텔신라,"83,400","2,200",+2.71%,"5,000","32,733","39,248",21.26,"1,015,620",-25.31,20.16,
81,DB손해보험,"46,150",300,-0.65%,500,"32,674","70,800",40.82,"211,699",6.04,6.92,
